reference,count
"bourdieu pierre, genesis and structure of the religious field, comperative social research, 13, pp. 1-44, (1991)",1
"bourdieu p., la distinction: critique sociale du jugement, paris: Ã©ditions de minuit, (2012)",1
"bourdieu p., wacquant l., an invitation to reflexive sociology, trans. l. wacquant, (1992)",1
"bourdieu p., the logic of practice(trans: nice, r.), (1990)",1
"bourdieu p., the economics of linguistic exchange, social science information, 16, 6, pp. 645-668, (1977)",1
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of culture, pp. 241-258, (1986)",1
"bourdieu p., passeron j.-c., reproduction in education, culture, and society, (1977)",1
"bourdieu p., l'Ã©cole conservatrice. les inegalite Ìs devant l'Ã©cole et devant la culture, revue franÃ§aise de sociologie, 7, pp. 325-347, (1966)",1
"bourdieu p., distinction: a social critique of the judgement of taste(trans: nice, r.), (1986)",1
"bourdieu p., kulturelle reproduktion und soziale reproduktion, grundlagen einer theorie der symbolischen gewalt, pp. 91-138, (1973)",1
"bourdieu p., accardo a., balazs g., beaud s., bonvin f., bourdieu e., wacquant l.j.d., the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., power and ideology in education, pp. 487-511, (1973)",1
"bourdieu p., the social space and the genesis of groups, theory and social space, 14, pp. 723-744, (1985)",1
"bourdieu p., the kabyle house or the world reversed. the logic of practice., pp. 271-283",1
"bourdieu p., the logic of practice, (1977)",1
"bourdieu p., (2008)",1
"bourdieu p., the logic of practice, stanford university press, (1990)",1
"bourdieu p., clough l.c., the state nobility: elite schools in the field of power, (1996)",1
"bourdieu p., passeron c., reproduction in education, (1977)",1
"bourdieu p., la noblesse dâetat, (1989)",1
"bourdieu p., forms of capital, handbook of theory and research in the sociology of education, (1983)",1
"bourdieu p., the forms of capital, education. culture, economy and society, (1997)",1
"bourdieu p., cultural reproduction and social reproduction, in: power and ideology in education, (1977)",1
"bourdieu p., le dÃ©racinement, pp. 36-37",1
"bourdieu p., sport and social class, social science information, 17, 6, pp. 819-40, (1978)",1
"bourdieu p., the state nobility: elite schools in the field of power, (1988)",1
"bourdieu p., program for a sociology of sport, sociology of sport journal, 2, pp. 153-161, (1988)",1
"bourdieu p., how can one be a sportsman?, sociology in question., (1993)",1
"bourdieu p., a science that makes trouble, sociology in question., (1993)",1
"bourdieu p., jeux olympiques: programme pour une analyse, actes de la recherche en sciences sociales, 103, june, pp. 102-103, (1994)",1
"bourdieu p., distinction: a social critique of the judgment of taste., (1998)",1
"bourdieu p., l'Ã©tat, l'Ã©conomie et le sport, sociÃ©tÃ©s et reprÃ©sentations, 7, pp. 13-19, (1998)",1
"bourdieu p., wacquant l.j.d., an invitation to reflexive anthropology., (1992)",1
"bourdieu p., sociologie de l'algÃ©rie, the algerians, (1958)",1
"bourdieu p., logique interne de la sociÃ©tÃ© algÃ©rienne tradition-nelle, le sous-dÃ©veloppement, (1959)",1
"bourdieu p., le choc des civilisations, le sous-dÃ©veloppement, (1959)",1
"bourdieu p., rÃ©volution dans la rÃ©volution, esprit, 1, spring, pp. 27-40, (1961)",1
"bourdieu p., cÃ©libat et condition paysanne, Ã©tudes rurales, 5-6, april, pp. 32-136, (1962)",1
"bourdieu p., esquisse d'une thÃ©orie de la pratique, outline of a theory of practice, (1972)",1
"bourdieu p., algeria 60. economic structures and temporal structures, (1979)",1
"bourdieu p., le sens pratique, logic of practice, (1980)",1
"bourdieu p., la rÃ©appropriation de la culture reniÃ©e, amour, phantasmes et sociÃ©tÃ© en afrique du nord et au sahara, (1992)",1
"bourdieu p., l'odyssÃ©e de la rÃ©appropriation, awal revue dâÃ©tudes berbÃ¨res, 18, november, pp. 5-6, (1998)",1
"bourdieu p., entretien avec hafid adnani et tassadit yacine, awal, (2003)",1
"bourdieu p., abdelmalek s., le dÃ©racinement, la crise de l'agriculture traditionnelle en algÃ©rie, (1964)",1
"bourdieu p., loic w., the organic ethnologist of algerian migration, ethnography, 1-2, fall, pp. 173-182, (2000)",1
"bourdieu p., alain d., jean-paul r., claude s., travail et travailleurs en algÃ©rie, (1963)",1
"bourdieu p., habitus, habitus: a sense of place (2nd ed.), pp. 43-52, (2005)",1
"bourdieu p, social space and symbolic power, social theory, 7, 1, pp. 14-25, (1989)",1
"bourdieu p., other words: essays towards a reflexive sociology, (1989)",1
"bourdieu p., on the state: lectures at the collÃ¨ge de france 1989-1992, (2015)",1
"bourdieu p., the forms of capital, education: culture, economy, society, (1996)",1
"bourdieu p., a lecture on the lecture, in other words: essays toward a reflexive sociology., (1990)",1
"bourdieu p., postface, architecture gothique et pensÃ©e scolastique, (1967)",1
"bourdieu p., la domination masculine, actes de la recherche en sciences socialies, 84, pp. 2-31, (1990)",1
"bourdieu p., darbel a., rivet j., seibel c., travail et travailleurs en algÃ©ria, (1963)",1
"bourdieu p., the purpose of reflexive sociology, an invitation to reflexive sociology, (1992)",1
"bourdieu p., passeron j.-p., reproduction in education, society & culture (2nd edn), (1990)",1
"bourdieu p., three forms of capital, handbook of theory and research for the sociology of education, (1996)",1
"bourdieu p., sport and social class, pp. 357-373, (1991)",1
"bourdieu p., halsey a.h., lauder h., brown p., wells a.s., the forms of capital, education, culture, economy and society, pp. 46-58, (1986)",1
"bourdieu p., the rules of art: genesis and structure of the literacy field, (1996)",1
"bourdieu p., accardo a., balazs g., beaud s., bonvin f., bourdieu e., bourgois p., broccolichi s., champagne p., christin r., the weight of the world: social suffering in comtemporary society, (1999)",1
"bourdieu p., panofsky e., postface, architecture gothique et pensÃ©e scholastique, (1967)",1
"bourdieu p., bourdieu p., but who created the ""creators""?, sociology in question, pp. 139-148, (1993)",1
"bourdieu p., tanner j., outline of a sociological theory of art perception, the sociology of art: a reader, pp. 164-177, (2003)",1
"bourdieu p., la lecture de marx: quelques remarques critiques Ã  propos de quelques remarques critiques Ã  propos de Â«lire le capitalÂ», actes de la recherche en sciences sociales, 5-6, pp. 65-79, (1975)",1
"bourdieu p., vive la crise! for heterodoxy in social science, theory and society, 17, 5, pp. 772-786, (1988)",1
"bourdieu p., les conditions sociales de la circulation internationale des idÃ©es, actes de la recherche en sciences sociales, 5, pp. 3-8, (2002)",1
"bourdieu p., wacquant l., on the cunning of imperial reason, pierre bourdieu and democratic politics: the mystery of ministry, (2005)",1
"bourdieu p., carles p., gonzalez a., fregosi v., la sociologie est un sport de combat (sociology is a martial art), (2001)",1
"bourdieu p., esquisse d'une thÃ©orie de la pratique. prÃ©cÃ©dÃ© de trois Ã©tudes d'ethnologie kabyle, (1972)",1
"bourdieu p., l'opinion publique n'existe pas, les temps modernes, 318, pp. 1292-1309, (1973)",1
"bourdieu p., la lecture de marx: quelques remarques critiques Ã  propos de ""quelques remarques critiques Ã  propos de lire le capital, actes de la recherche en sciences sociales, 5-6, pp. 65-79, (1975)",1
"bourdieu p., on symbolic power, 1991 language and symbolic power,, (1977)",1
"bourdieu p., leÃ§on sur une leÃ§on, (1982)",1
"bourdieu p., interventions (1961-2001), (2002)",1
"bourdieu p., passeron j.-c., la comparabilitÃ© des systÃ¨mes d'Ã©ducation, education, developpement et democratie, (1967)",1
"bourdieu p., passeron j.-c., sociology and philosophy in france: death and resurrection of a philosophy without subject, social research, 34, 1, pp. 162-212, (1967)",1
"bourdieu p., sayad a., le dÃ©racinement, la crise de l'agriculture traditionelle en algÃ©rie, (1964)",1
"bourdieu p., darbel a., schnapper d., l'amour de l'art, les musÃ©es d'art et leur public, (1966)",1
"bourdieu p., public opinion does not exist, sociology in question, (1993)",1
"bourdieu p., âthe inheritors: french students and their relation to culture by pierre bourdieu and jean-claude passeron. translated by richard niceâ, (1979)",1
"bourdieu p., travail et travailleurs en algÃ©rie, (1965)",1
"bourdieu p., principles of an economic anthropology, the handbook of economic sociology, edited by neil smelser and richard swedberg., (2005)",1
"bourdieu p., passeron j.-c., [1977]. reproduction in education, society, and culture, (1990)",1
"bourdieu p., fourth lecture, universal corporatism: the role of intellectuals in the modern world. poetics today, 12, 4, pp. 655-669, (1991)",1
"bourdieu p., questions in sociology, (2005)",1
"bourdieu p., fourth lecture, universal corporatism: the role of intellectuals in the modern world, trans. g. sapiro and b. mchale, poetics today, 12, 4, pp. 655-669, (1991)",1
"bourdieu p., the role of intellectuals today, theoria, 49, pp. 1-6, (2002)",1
"bourdieu p., distinction. cambridge, (1984)",1
"bourdieu p., passeron j.c., la reproduction Ã©lÃ©ments pour une thÃ©orie du systÃ¨me d'enseignement, (1970)",1
"bourdieu p., sport and social class, social science and information, 17, pp. 819-840, (1978)",1
"bourdieu p., sport and social class, social sciences information. information surles sciences sociales, 17, 6, pp. 819-840, (1978)",1
"bourdieu p., symbolsk makt, (1996)",1
"bourdieu p., the school as a conservative force, scholastic and cultural inequalities, schooling and capitalism: a sociological reader, (1976)",1
"bourdieu p., passeron j.c., reproduction in education, society and culture, (2003)",1
"bourdieu p., et al., the contradictions of inheritance, weight of the world: social suffering in contemporary society, pp. 507-514, (1999)",1
"bourdieu p., habitus and field: general sociology vol. 2 (1982â82), (2020)",1
"bourdieu p., razÃµes prÃ¡ticas: sobre a teoria da acÃ§Ã£o, (1997)",1
"bourdieu p., manet, une rÃ©volution symbolique. cours au collÃ¨ge de france 1998-2000, (2014)",1
"bourdieu p., distinction, a social critique of the judgment of taste, trans. r. nice, (1984)",1
"bourdieu p., homo academicus, trans. p. collier, (1988)",1
"bourdieu p., habitus: a sense of place, pp. 27-36, (2002)",1
"bourdieu p., handbook for theory and research for the sociology of education, pp. 241-258, (1985)",1
"bourdieu p., thinking about limits, theory culture and society, 9, 1, pp. 37-49, (1992)",1
"bourdieu p., social space and symbolic power, in other words: essays towards a reflexive sociology, pp. 123-149, (1990)",1
"bourdieu p., luc b., the educational system and the economy: titles and jobs, french sociology: rupture and renewal since 1968, pp. 141-151, (1981)",1
"bourdieu p., france and the 1998 world cup: the national impact of a world sporting event, pp. 15-21, (1999)",1
"bourdieu p., from the king's house to the reason of state: a model of the genesis of the bureaucratic field, constellations, 11, 1, pp. 16-36, (2004)",1
"bourdieu p., the social space and the genesis of groups, theor. soc., 14, pp. 723-744, (1985)",1
"bourdieu p., sur le pouvoir symbolique, annales, 32, 3, pp. 405-411, (1977)",1
"bourdieu p., passeron j.c., reproduction in education, society and culture, (1976)",1
"bourdieu p., distinctionâa social critique of the judgement of taste, (1986)",1
"bourdieu p., public opinion does not exist, communication and class struggle, pp. 124-130, (1979)",1
"bourdieu pierre, genesis and structure of the religious field, comparative social research, 13, pp. 1-44, (1991)",1
"bourdieu p., the specificity of the scientific field and the social conditions of the progress of reason, social science information/information sur les sciences sociales, 14, pp. 19-47, (1975)",1
"bourdieu p., the forms ofcapital, handbook of theory and research for the sociology ofeducation, pp. 241-258, (1986)",1
"bourdieu p., centrale tekster indenfor sociologi og kulturteori(central texts within sociology and cultural theory), (1994)",1
"bourdieu p., distinksjonen (distinction), (1995)",1
"bourdieu p., et steds betydningâ (themeaning of a place), symbolsk makt: artikler i utvalg (symbolic power: selectedarticles), pp. 149-158, (1996)",1
"bourdieu p., men hvem skabte skaberne? interviews ogforelÃ¦sninger (but who created the creators? interviews andlectures), (1997)",1
"bourdieu p., understanding, the weight of the world: social suffering in contemporarysociety, pp. 607-626, (1999)",1
"bourdieu p., outline of a theory and practice, (1977)",1
"bourdieu p., le sens pratique, edited by maison des sciences de l'homme, (1980)",1
"bourdieu p., rÃ©ponses: pour une anthropologie rÃ©flexive, edited by loÃ¯c wacquant, (1992)",1
"bourdieu p., esprits d'etat [genÃ¨se et structure du champ bureaucratique], actes de la recherche en sciences sociales, 96, 1, pp. 49-62, (1993)",1
"bourdieu p., sur l'Ã©tat: cours au collÃ¨ge de france, 1989-1992, (2011)",1
"bourdieu p., manet, (2013)",1
"bourdieu p., de saint martin m., le patronat, actes de la recherche en sciences sociales, 20, 1, pp. 3-82, (1978)",1
"bourdieu p., distinction: a social critique of the judgement of taste (translated by richard nice), (1984)",1
"bourdieu p., in other words: essays towards a reflexive sociology (translated by matthew adamson), (1990)",1
"bourdieu p., photography: a middle-brow art (translated by shaun whiteside), (1990)",1
"bourdieu p., acts of resistance: against the new myths of our time, (translated by richard nice), (1998)",1
"bourdieu p., understanding, the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., les conditions sociales de la circulation internationale des idÃ©es, cahiers dâhistoire des littÃ©ratures romanes, 1-2, pp. 1-10, (1990)",1
"bourdieu p., la distinction: critique sociale du jugement, (2012)",1
"bourdieu p., systems of education and systems of thought, schooling and capitalism. a sociological reader, pp. 192-200, (1976)",1
"bourdieu p., the forms of social capital, handbook of theory and research for the sociology of education, (1985)",1
"bourdieu p., distinction:, a social critique of the judgement of taste, (1984)",1
"bourdieu p., outline of a theory of practice. cambridge studies in social and cultural anthropology 16, (2010)",1
"bourdieu p., jean-claude passeron j., reproduction in education, society and culture, (1977)",1
"bourdieu p., sketch for a self-analysis, the empire strikes back: race and racism in 70s britain, (2008)",1
"bourdieu p., distinction: a social critique of the judgement of taste",1
"bourdieu p., passeron j.-c., reproduction in society, education and culture, (1979)",1
"bourdieu p., wacquant l., neoliberal speak: notes on the new planetary vulgate, radical philosophy, 105, pp. 2-5, (2001)",1
"bourdieu p., cÃ©libat et condition paysanne, etudes rurales, 5-6, april, pp. 32-136, (1962)",1
"bourdieu p., state nobility: elite schools in the field of power, (1994)",1
"bourdieu p., reproduction interdite. la crise de la sociÃ©tÃ© paysanne en bÃ©arn",1
"bourdieu p., jean-claude c., jean-claude p., the craft of sociology: epistemological preliminaries, (1991)",1
"bourdieu p., masculine domination cambridge, (2001)",1
"bourdieu p., the rules of art: genesis and the structure of the literary field, (1996)",1
"bourdieu p., language and symbolic power, (2002)",1
"bourdieu p., the forms of capital, cultural theory: an anthology, pp. 81-94, (1968)",1
"bourdieu p., on symbolic power, language and symbolic power, (1991)",1
"bourdieu p., distinction. a social critique of judgment of taste., (1984)",1
"bourdieu p., the weight of the world. social suffering in contemporary society., (1999)",1
"bourdieu p., erving goffman: discoverer of the infinitely small, erving goffman, 1, pp. 1-4, (2000)",1
"bourdieu p., the economics of linguistic exchanges, information (international social science council), 16, 6, pp. 645-668, (1977)",1
"bourdieu p., the politics of protest: an interview by kevin ovenden, socialist review, 242, pp. 18-20, (2000)",1
"bourdieu p., the forms of capital, readings in economic sociology, 4, (2008)",1
"bourdieu p., passeron j., reproduction in education society and culture, (1977)",1
"bourdieu p., le champ Ã©conomique, actes de la recherche en sciences sociales, pp. 48-55, (1997)",1
"bourdieu pierre, the logic of practice, (1980)",1
"bourdieu p, wacquant l., an invitation to reflexive sociology, (1992)",1
"bourdieu p., passeron j.c., reproduction, education, society and culture, (1977)",1
"bourdieu p., the forms of capital, handbook of research and theory for sociology of education, pp. 241-258, (1986)",1
"bourdieu p., the forms ofcapital, education, culture, economy, society, pp. 47-58, (1997)",1
"bourdieu, distinction: a critique of the judgement of taste",1
"bourdieu p., the bachelors' ball: the crisis of peasant society in bÃ©arn, (2007)",1
"bourdieu p., cultural reproduction and social reproduction, knowledge, educational and cultural change, pp. 71-112, (1973)",1
"bourdieu p., the odyssey of reappropriation, ethnography, 5, 4, pp. 617-621, (2004)",1
"bourdieu p., how schools help reproduce the social order. current contents, social and behavioural science, 21, 8, (1989)",1
"bourdieu p., saint-martin m.d., scholastic excellence and the values of the educational system, contemporary research in the sociology of education, (1974)",1
"bourdieu p., rethinking the state: on the genesis and structure of the bureaucratic field, sociological theory, 12, 1, pp. 1-18, (1994)",1
"bourdieu p., passeron j.-c., reproduktionen, (2008)",1
"bourdieu p., âcultural reproduction and social reproductionâ, power and ideology in education, pp. 487-510, (1977)",1
"bourdieu p., âle champ scientifiqueâ, actes de la recherche en sciences sociales, 2, 2, pp. 88-104, (1976)",1
"bourdieu p., theory, culture and society series, 18, (1993)",1
"bourdieu p., on the family as a realized category., theory, culture & society, 13, 3, pp. 19-26, (1996)",1
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 487-511, (1976)",1
"bourdieu p., passeron j.-c., reproduction in education, culture and society, (1990)",1
"bourdieu p., outline of a theory of practice (trans, r nice), (1977)",1
"bourdieu p., outline of a theory of practice, (2008)",1
"bourdieu p., passeron j.-c., reproduction in education, society, and culture, (1997)",1
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 241-258, (2006)",1
"bourdieu p., habitus: a sense of place, pp. 27-34, (2002)",1
"bourdieu pierre, social space and symbolic power, sociological theory, 7, pp. 14-25, (1989)",1
"bourdieu p., le capital social, actes de la recherche en sciences sociales, 31, 31, pp. 2-3, (1980)",1
"bourdieu p., distinctions: a social critique of judgment and taste, (1984)",1
"bourdieu p., balazs g., the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., acts of resistance - against the new myths of our time, (2000)",1
"bourdieu p., concluding remarks: for a sociogenetic understanding of intellectual works, bourdieu: critical perspectives, pp. 227-263, (1993)",1
"bourdieu p., social construction of economy, (2005)",1
"bourdieu p., sayad a., le dÃ©racinement. la crises de l'agriculture traditionnelle en algÃ©rie, (1964)",1
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture, society, 16, 1, pp. 41-58, (1999)",1
"bourdieu p., images d'algÃ©rie: une affinite elective, (2003)",1
"bourdieu p., coleman j., moebius-strip organizations and open labor markets: consequences of the reintegration of conception and execution in a volatile economy, social theory for a changing society, pp. 23-53, (1991)",1
"bourdieu p., travail et travailleurs en algÃ©rie [work and workers in algeria], (1963)",1
"bourdieu p., the logic of fields, an invitation to reflexive sociology, pp. 94-115, (1992)",1
"bourdieu p., on the state: lectures at the college de france, 1989â1992, (2018)",1
"bourdieu p., outline of a theory of practice, (1987)",1
"bourdieu p., in other words: essays toward a reflexive sociology, pp. 177-199, (1990)",1
"bourdieu p., homo academicus., (1988)",1
"bourdieu p., in other words., (1990)",1
"bourdieu p., rites of institution, language and symbolic power, pp. 117-126, (1991)",1
"bourdieu p., the science of science and reflexivity [science de la science et rÃ©flexivitÃ©, cours au collÃ¨ge de france 2000-2001], (2004)",1
"bourdieu p., social space and symbolic power, sociological theory, 7, 1, pp. 14-25",1
"bourdieu p., in other words: essays towards a reflexive sociology, repr. ed, (2004)",1
"bourdieu p., social space and symbolic power, sociological theory, 7, pp. 14-25, (1986)",1
"bourdieu b., the logic of practice, (1980)",1
"bourdieu p., loi w.j.d., an invitation to reflexive sociology., (1992)",1
"bourdieu p., narzisstische reflexivitÃ¤t und wissenschaftliche reflexivitÃ¤t, kultur, soziale praxis, text, (1993)",1
"bourdieu p., la cause de la science, actes de la recherche en sciences sociales, 106-107, (1995)",1
"bourdieu p., la force du droit: Ã©lÃ©ments pour une sociologie du champ juridique, actes de la recherche en sciences sociales, 64, pp. 3-19, (1986)",1
"bourdieu p., foreword, professional competition and professional power: lawyers, accountants and the social construction of markets, (1995)",1
"bourdieu p., science de la science et rÃ©flexivitÃ©, (2002)",1
"bourdieu p., les rites dâinstitution comme acte dâinstitutions, actes de la recherche en sciences socials, (1982)",1
"bourdieu p., christin o., will p.-e., sur la science de l'Ã©tat, actes de la recherche en sciences sociales, 133, pp. 4-10, (2000)",1
"bourdieu p., loic wacquant, an invitation to reflexive sociology, (1992)",1
"bourdieu p., science of science and reflexivity, translated by richard nice, (2004)",1
"bourdieu p., wacquant l.j.d., an invitation to reflexive sociology, (1996)",1
"bourdieu p., thinking about limits, cultural theory and cultural change, (1992)",1
"bourdieu p., from the kingâs house to the reason of state: a model of the genesis of the bureaucratic field, constellations, 11, 1, pp. 16-36, (2004)",1
"bourdieu p., âhabitusâ, habitus: a sense of place, pp. 27-34, (2002)",1
"bourdieu p., the forms of capital. (1986), cultural theory: an anthology, 1, pp. 81-93, (2011)",1
"bourdieu p., participant objectivation, journal of royal anthropological institute, 9, pp. 281-294, (2003)",1
"bourdieu p., distinction: a sociological critique of the judgment of taste, (1984)",1
"bourdieu p., accardo a., balazs g., beaud s., bonvin f., bourdieu e., bourgois p., broccolochi s., champagne p., christin r., faguer j.p., garcia s., lenoir r., oeuvrard f., pialoux m., pinto l., podalydes d., sayad a., soulie c., wacquant l., the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., accardo a., balazs g., et al., the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., lâÃ©cole conservatrice : les inÃ©galitÃ©s devant lâÃ©cole et devant la culture., revue franÃ§aise de sociologie, 7, 5, (1966)",1
"bourdieu p., passeron j.-c., the inheritors, french students and their relation to culture, (1964)",1
"bourdieu p., wacquant l., on the cunning of imperialist reason, theory, culture & society, 16, 1, (1999)",1
"bourdieu p., reproduction in education, culture and society, (1977)",1
"bourdieu p., knowledge, education, and cultural change: papers in the sociology of education, pp. 71-112, (1973)",1
"bourdieu p., on the state: lectures at the college de france, 1989-1992, (2008)",1
"bourdieu p., jean-claude p., reproduction in education, society, and culture, (1990)",1
"bourdieu p., et al, site effects, the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., sayad a., (1964)",1
"bourdieu p., passeron j.-c., reproduction, 5, (1977)",1
"bourdieu p., distinction: a social critique of the judgement of taste (trans. nice r, (2010)",1
"bourdieu p., sobre a televisÃ£o, (1997)",1
"bourdieu p., contrafogos: tÃ¡ticasparaenfrentarainvasÃ£o neoliberal, (1998)",1
"bourdieu p., contrafogos 2, (2001)",1
"bourdieu p., the scholastic point of view, cultural anthropology, 5, 4, (1990)",1
"bourdieu p., sur l'Ã©tat: cours au collÃ¨ge de france, (2012)",1
"bourdieu p., wacquant l., newliberalspeak: notes on the new planetary vulgate, radical philosophy, 105, pp. 1-4, (2001)",1
"bourdieu p., sociology in question, pp. 132-138, (1993)",1
"bourdieu p., program for a sociology of sport, in other words, (1987)",1
"bourdieu p., social space and symbolic power, in other words, pp. 123-139, (1990)",1
"bourdieu p., structures, habitus, power: basis for a theory of symbolic power, culture/power/history, pp. 155-199, (1994)",1
"bourdieu p., for a sociology of sociologists, algerian sketches, (2013)",1
"bourdieu p., distinction: a social critique of the judgement of taste (trans. r nice, (1984)",1
"bourdieu p., la thÃ©orie, vh, 101, 2, pp. 12-21, (1970)",1
"bourdieu p., la lecture de marx, ou quelques remarques critiques Ã  propos de âquelques remarques critiques Ã  propos de âlire le capitalââ, actes de la recherche en sciences sociales, 1, 5, pp. 65-79, (1975)",1
"bourdieu p., outline of a theory of practice., (1972)",1
"bourdieu p., the logic of practice (nice, (1992)",1
"bourdieu p., passeron j.c., nice r., education, society and culture, (1977)",1
"bourdieu p., the field of cultural production, or, the economic world reversed, poetics, 12, 4, pp. 311-356, (1983)",1
"bourdieu p., cultural reproduction and social reproduction, knowledge, education, and social change, pp. 71-112, (1973)",1
"bourdieu p., the biographical illusion, biography in theory. key texts with commentaries, pp. 210-216, (2017)",1
"bourdieu p., the forms of capital, handbook of theory and research for the. sociology of education, pp. 241-258, (1986)",1
"bourdieu p., the forms of capitalâ, handbook of theory and research for the sociology of education, pp. 241-258, (1983)",1
"bourdieu p., waqcuant l.j.d., an invitation to reflexive sociology, (1992)",1
"bourdieu p., distinction. a social critique of the judegment of taste, (1984)",1
"bourdieu p., the forms of capital, handbook of theory and research for the sociology of education, pp. 280-291, (1986)",1
"bourdieu p., cultural reproduction and social reproduction, power and ideology in education, pp. 71-111, (1977)",1
"bourdieu p., the economics of linguistic exchanges, social sciences information, 16, pp. 645-668, (1977)",1
"bourdieu p., accardo a., balazs g., beaud s., bonvin f., bourdieu e., bourgois p., broccolichi s., champagne p., christin r., et al., the weight of the world: social suffering in contemporary society, (1999)",1
"bourdieu p., de saint martin m., scholastic excellence and the values of the educational system, contemporary research in the sociology of education, pp. 338-371, (1974)",1
"bourdieu p., et al., the contradictions of inheritance, the weight of the world, pp. 507-513, (1999)",1
"bourdieu p., homo academices, (1988)",1
"bourdieu p., the forms of capital, the sociology of economic life, pp. 78-92, (2011)",1
"bourdieu p., accardo a., balazs g., et al., the weight of the world: social suffering in contemporary society, (2002)",1
"bourdieu p., the specificity of scientific field and the social conditions of the progress of reason, social science information, 14, 6, pp. 19-47, (1975)",1
"bourdieu p., youth is just a word, sociology in question, pp. 94-102, (1993)",1
"bourdieu p., distinction: a social critique of the judgement of the taste, (1984)",1
"bourdieu p., the forms of capital, education: culture, economy, society, pp. 46-58, (2002)",1
"bourdieu p., lâobjectivation participante, actes de la recherche en sciences sociales, 150, 1, pp. 43-58, (2003)",1
"bourdieu p., social theory for the changing society, (1991)",1
"bourdieu p., passerson j.-c., reproduction in education, society and culture, (1990)",1
"bourdieu p., meditationen. zur kritik der scholastischen vernunft [pascalian meditations], (1997)",1
"bourdieu p., cultural and social reproduction, social science information, 10, pp. 45-79, (1971)",1
"bourdieu p., the forms of capital.â in handbook of theory and research for the sociology of education, pp. 241-258, (1986)",1
"bourdieu p., social space and symbolic power, other words: essays towards a reflexive sociology, (1989)",1
"bourdieu p., masculine domination translated by richard nice, (2001)",1
"bourdieu p., sociology in questions, (1993)",1
"bourdieu p., genÃ¨se et structure du champ religieux, revue franÃ§aise de sociologie, pp. 295-334, (1971)",1
"bourdieu p., the berber house, rules and meanings, (1973)",1
"bourdieu p., o campo cientÃ­fico, pierre bourdieu, (1983)",1
"bourdieu, structures, habitus, power: basis for a theory of symbolic power, a reader in contemporary social theory, pp. 155-99, (1977)",1
"bourdieu p., espace physique, espace social et espace physique appropriÃ©, poverty, immigration and urban marginality in advanced societies, (1991)",1
"bourdieu p., rites of institution. in:, language and symbolic power, pp. 117-126, (1991)",1
"bourdieu p., efeitos de lugar, a misÃ©ria do mundo, (2003)",1
"bourdieu p., distinctions: a social critique of the judgment of taste., (1984)",1
"bourdieu p., in other words: essays toward a reflexive social science., (1990)",1
"bourdieu p., the social space and the genesis of groups, theory and society, 14, 6, pp. 723-44, (1985)",1
"bourdieu p., la dissolution du religieux, pierre bourdieu. choses dites, pp. 117-123, (1987)",1
"bourdieu p., sociologues de la croyance et croyances de sociologies, c hoses dites, pp. 106-111, (1987)",1
"bourdieu p., de saint martin m., la sainte famille: lÃ©piscopat franÃ§ais dans le champ du pouvoir.â, actes de la recherche en sciences sociales, 44, 1, pp. 2-53, (1982)",1
"bourdieu p., the political field, the social field, and the journalistic field, bourdieu and the journalistic field, pp. 29-47, (2005)",1
"bourdieu p., legitimation and structured interests in max webers sociology of religion.â, max weber: rationality and modernity, pp. 119-136, (1987)",1
"bourdieu p., sociologists of belief and beliefs of sociologists, nordic journal of religion and society, 23, 1, pp. 1-7, (2010)",1
"bourdieu p., passerson j.-c., reproduction in education, society, and culture, (1977)",1
"bourdieu p., la distinciÃ³n: criterio y bases sociales del gusto, (1991)",1
"bourdieu p., las reglas del arte: gÃ©nesis y estructura del campo literario, 167, (2002)",1
"bourdieu p., practical reason: on the theory of action, (1990)",1
"bourdieu p., the forms of capitalâ edited by j. richardson, pp. 241-258, (1986)",1
"bourdieu p., distinction: a social critique on the judgement of taste, (1977)",1
"bourdieu p., distinction: a social critique of the judgement of taste, pp. 177-200, (1984)",1
"bourdieu, distinction, pp. 34-41",1
"bourdieu pierre, outline of a theory and practice, translated by richard nice, (1977)",1
"bourdieu p., saint-martin m., anatomie du goÃ»t, actes de la recherche en sciences sociales, 2, 5, pp. 2-81, (1976)",1
"bourdieu p., on the state: lectures at the collÃ¨ge de france, 1989â1992, (2015)",1
"bourdieu p., social space and the genesis of classes, language and symbolic power, pp. 221-251, (1991)",1
"bourdieu p., the forms of capital. in j.g. richardson, handbook of theory and research for the sociology of education, pp. 241-258, (1986)",1
"bourdieu p., (2001)",1
"bourdieu p., biggart n.w., the forms of capital, readings in economic sociology, pp. 46-58, (2008)",1
"bourdieu p., photography: a middle-brow art, (2003)",1
"bourdieu p., bourdieu m., the peasant and photography, ethnography, 5, 4, pp. 601-616, (2004)",1
"bourdieu p., wacquant l.j.d., p. 19 in an invitation to reflexive sociology, (1992)",1
